"No";"Nombre";"Tipo";"Región";"Tipología";"Titular";"Inversión(MMU$)";"FechaPresentaciónFecha deIngreso(*)";"Estado";"url";"id";"url_mapa";"Longitud";"Latitud";"Calificado";"n_documentos";"n_adendas";"n_participacion";"Tipo_proyecto";"Descripcion";"Ano_Ingreso"
1;"BALNEARIO FLUVIAL RÍO DAMAS";"DIA";"Décima";"g2";"Inversiones y Comercial Southern World SpA";"30,4000";"09/03/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2151031299";"2151031299";"https://seia.sea.gob.cl/mapa/info.php?id=2151031299&name=0";-73,086346;-40,5968;"En Calificación";9;0;0;"Proyecto de desarrollo turístico (destinados en forma permanente al uso habitacional y/o de equipamiento para fines turísticos)";"El ""Balneario Fluvial Río Damas"" se compone de 85 viviendas unifamiliares y 272 colectivas con equipamientos turísticos y comerciales. Por estar emplazado en un predio ribereño al río Damas tendrá un carácter recreativo para habitantes locales que gusten disfrutar de un entorno de esparcimiento, así como turístico para quienes visitan la ciudad. Todo ello facilitado por su proximidad a la ciudad de Osorno, estar junto al segundo corredor internacional más importante con Argentina; y en la vecindad del aeropuerto “Cañal Bajo” para servir los turistas nacionales y extranjeros.   ObjetivoEl principal objetivo del proyecto consiste en habilitar un balneario fluvial con viviendas y equipamiento de esparcimiento y turismo, tanto para los habitantes de Osorno como para los turistas que visitan la ciudad";"2021"
2;"MODIFICACIÓN DE PROYECTO TÉCNICO, CENTRO DE ENGORDA DE SALMONES SECTOR SUR RÍO PUELCHE, SOLICITUD Nº";"DIA";"Décima";"n3";"SALMONES TECMAR S.A.";"4,0000";"08/03/2021";"En Admisión";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150946991";"2150946991";NA;NA;NA;"En Admisión";2;0;0;"Producción anual igual o mayor a (35ton) tratándose de equinodermos, crustáceos y moluscos no filtradores, peces y otras especies, a través de un sistema de producción intensivo";"El proyecto corresponde a la ampliación de biomasa de un centro salmones, el cual fue autorizado y aprobado mediante RCA N°455/2009. El centro de cultivo tiene asignado el código de centro N° 102741. Se pretende ampliar la biomasa de 4.059 toneladas aprobadas a un máximo de  5.900  toneladas por ciclo productivo. Para ello se busca modificar el número y tipo de balsas jaulas, ya que según el Proyecto Técnico vigente se indican 21 jaulas circulares de 30 m diámetro x 20 m profundidad las que serán reemplazadas por 26 jaulas cuadradas de 40 m de lado x 20 m de profundidad.ObjetivoEl proyecto corresponde a la ampliación de biomasa de un centro de cultivo de salmones cuyo objetivo es obtener un incremento de producción desde 4.059 toneladas hasta 5.900   toneladas en una concesión de acuicultura de 14,38 hectáreas. Para lo anterior se considera el uso de 26 jaulas cuadradas de 40 m de largo x 40 m de ancho x 20 m de profundidad.";"2021"
3;"Planta de tratamiento de aguas servidas de Melipeuco";"DIA";"Novena";"o4";"Ilustre Municipalidad de Melipeuco";"2,0000";"05/03/2021";"Ingresados Art.94 RSEIA";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2151058617";"2151058617";NA;NA;NA;"Ingresados Art.94 RSEIA";2;0;0;"Plantas de tratamiento de aguas de origen domiciliario que atiendan a una población igual o mayor a 2.500 habitantes";"El proyecto consiste en dotar de una planta de tratamiento de aguas servidas a la localidad de Melipeuco, con el objeto de mejorar las actuales condiciones de dicha localidad. La planta de tratamiento proyectada corresponde a un sistema de lodos activos; previo al ingreso de las aguas se instalará una cámara de rejas, filtro rotatorio y desarenador/desengrasador. Las aguas antes de ser descargadas a cuerpo receptor se tratarán con cloración/decloración, lo cual garantiza la eliminación de organismos patógenos, dando cumplimiento a la norma de emisión vigente D.S. Nº 90/2000, Tabla 1. La planta de tratamiento se instalará en un predio de propiedad de la Municipalidad de Melipeuco ubicado en el sector denominado El Balneario.Objetivo La presente DIA tiene por objeto someter a evaluación de impacto ambiental al proyecto “Planta de Tratamiento de Aguas Servidas de Melipeuco”, el que se localizará en la Comuna de Melipeuco, Provincia de Cautín, Región de La Aaraucanía. El Proyecto corresponde a la instalación de una planta de tratamiento de aguas servidas cuya dotación final a servir será de 5.048 habitantes proyectada a 20 años.";"2021"
4;"Aumento de Extracción y Procesamiento, Pozo El Valle";"DIA";"Novena";"i5";"Forestal Arauco S.A.";"0,5000";"05/03/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150963916";"2150963916";"https://seia.sea.gob.cl/mapa/info.php?id=2150963916&name=0";-72,597362;-39,391543;"En Calificación";9;0;0;"Proyectos de extracción de áridos y greda";"El proyecto a evaluación ambiental corresponde al aumento de extracción de áridos provenientes de un pozo lastrero, identificado como Pozo El Valle, ubicado en predios forestales pertenecientes al Titular, emplazado en la localidad de Loncoche; para su posterior procesamiento, generándose un material óptimo para los requerimientos actuales y futuros, cuyo destino es ser utilizado en el estabilizado de caminos interiores de predios forestales. La cantidad de material a extraer comprende un volumen app de 452.236 m3 desde una superficie de 11,6 has; considerando una vida útil de 124 mesesObjetivo El proyecto “Aumento de extracción y procesamiento, Pozo El Valle “, tiene por objetivo la obtención de material de estabilizado a través de la extracción y procesamiento de áridos desde un pozo lastrero existente denominado también “Pozo El Valle”, donde se proyectan dos sectores, pozos Pozo El Valle E y Pozo El Valle W, para posteriormente ser derivado a los caminos forestales pertenecientes al Titular, mejorando de esta manera las condiciones de soporte de estos.";"2021"
5;"Planta de tratamiento de aguas servidas de Melipeuco";"DIA";"Novena";"o4";"alejandro arturo cancino esparza";"2,0000";"05/03/2021";"Ingresados Art.94 RSEIA";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2151056204";"2151056204";NA;NA;NA;"Ingresados Art.94 RSEIA";3;0;0;"";"";"2021"
6;"Ampliación Planta de Tratamiento de Aguas Servidas de Puerto Natales";"DIA";"Duodécima";"o4";"Aguas Magallanes S.A.";"6,5000";"04/03/2021";"Ingresados Art.94 RSEIA";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150867983";"2150867983";NA;NA;NA;"Ingresados Art.94 RSEIA";2;0;0;"Plantas de tratamiento de aguas de origen domiciliario que atiendan a una población igual o mayor a 2.500 habitantes";"El presente proyecto “AMPLIACIÓN PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS DE PUERTO NATALES”, nace de la necesidad de AGUAS MAGALLANES S.A. de ampliar la capacidad de la planta de tratamiento de aguas servidas (PTAS) de Puerto Natales mediante obras que permitan ampliar su capacidad de carga hasta un promedio anual de 2.340 kg DBO/d y máxima de 3.200 kg DBO/d, manteniendo el cumplimiento normativo en la calidad del efluente tratado.
 ObjetivoAumentar la capacidad de operación de la Planta de Tratamiento de Aguas Servidas Puerto Natales, respecto el funcionamiento actual, a fin de enfrentar las futuras demandas y normalizar, en función de los requerimientos del SEA, la operación total de la planta.";"2021"
7;"CONTINUIDAD OPERACIONAL EXTRACCION ARIDOS RIO MAIPO TRAMO KM 8,5 A KM 11,2";"DIA";"RM";"i5";"Compañia Minera Santa Laura Limitada";"1,0000";"02/03/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150897519";"2150897519";"https://seia.sea.gob.cl/mapa/info.php?id=2150897519&name=0";-71;-34;"En Calificación";9;0;0;"Proyectos de extracción de áridos y greda";"Consiste en el aumento de vida útil de la Fase de Operación del Proyecto cuya RCA es 414/2014, en un plazo de 12 años, para extraer material árido integral. Se amplía el tramo de extracción de áridos en 200 m aguas abajo y se mejoran las condiciones de cierre del Proyecto. La extracción de áridos tendrá un volumen de 3.580.611 m3, la que realizará por frentes de explotación y se transportará a un lugar de procesamiento de terceros autorizado. El proyecto actual solo se ejecutará en el semicauce de San Bernardo, en subsección principal que se explotará con ancho de 200 m desde el eje central hacia la ribera norte y una subsección secundaria con ancho variable, desde el borde de la subsección principal hasta una distancia de 200 m respecto de los pies de los cerros de Lonquén. ObjetivoEl objetivo del Proyecto es proseguir con la actividad de extracción de áridos en el tramo 8,5 al 11,0 Km en el Río Maipo, aumentando la vida útil del Proyecto aprobado en 12 años más. Además, se amplía el tramo de extracción de áridos en 200 m aguas abajo, hasta el Km 11,2 (11+200), totalizando un volumen total de extracción total, para el Proyecto, de 3.580.611 m3.";"2021"
8;"Planta de Tratamiento de RILes de Inasec";"DIA";"RM";"o7";"Industria Nacional de Secado Limitada";"0,0290";"25/02/2021";"Ingresados Art.94 RSEIA";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150953207";"2150953207";NA;NA;NA;"Ingresados Art.94 RSEIA";2;0;0;"Sistemas de tratamiento y/o disposición de residuos industriales líquidos";"El proyecto que se somete a evaluación, corresponde a una Planta de Tratamiento de Residuos Industriales Líquidos (RILes), generados en las actividades de lavado de equipos para secado y deshidratado de productos alimenticios (frutas y hortalizas). Corresponde a un proceso físico- químico por decantación y floculación, con un caudal máximo de 1,7 l/min, y 1,8 m3/día. Las aguas resultantes son utilizadas en el riego de las áreas verdes y jardines de la empresa. El suministro de agua para lavado de equipos, proviene de la red de distribución publica, perteneciente a la Cooperativa de Abastecimiento y Distribución de Agua Potable, Alcantarillado y Saneamiento Ambiental Hospital Champa Ltda.Objetivo 
El objetivo general del proyecto corresponde primero a: el aprovechamiento y reutilización de las aguas tratadas, para el riego y mantención de las áreas verdes y jardines de la planta, así como para dar cumplimiento a lo señalado en Resolución N° 883, del SMA, que Requiere a la Industria de Secado Ltda., el ingreso al Sistema de Evaluación de Impacto Ambiental del proyecto, bajo Apercibimiento de Sanción, de fecha 20 de junio de 2019.";"2021"
9;"Parque Fotovoltaico Andrómeda 2";"DIA";"Quinta";"c";"Solek Chile Services SpA";"5,0000";"25/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150870379";"2150870379";"https://seia.sea.gob.cl/mapa/info.php?id=2150870379&name=0";-70,557663;-32,793624;"En Calificación";13;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto consiste en la instalación y operación de un parque fotovoltaico ubicado en la Región de Valparaíso, específicamente en la comuna de San EstebanObjetivo El Proyecto, tiene por objetivo captar y transformar la energía solar en energía eléctrica para inyectar 3 MW a la red de distribuidora local, perteneciente al (SEN)";"2021"
10;"Regularizacion Jatata Resort";"DIA";"Primera";"g2";"Ztanka Pilar Restovic Sepúlveda";"0,9500";"25/02/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149737918";"2149737918";"https://seia.sea.gob.cl/mapa/info.php?id=2149737918&name=0";-70,158561;-20,46984;"No Admitido a Tramitación";4;0;0;"Proyecto de desarrollo turístico (destinados en forma permanente al uso habitacional y/o de equipamiento para fines turísticos)";"Este Proyecto corresponde a la categoría de Resort Turístico, emplazado en el Kilómetro 33 Ruta A-1. Las actividades a desarrollar en dicho establecimiento son de carácter turístico y recreacionales, del mismo modo entrega un ambiente apto para la recreación familiar, la cual es catalogada por la Autoridad Sanitaria como inofensivas.El recinto está urbanizado en su totalidad, cuenta con permisos sectoriales de aprobación del sistema de alcantarillado, del sistema de electricidad y agua potable regularizado, además cuenta con una planta de tratamiento de aguas servidas clase 3.Objetivo El proyecto “Regularización Resort Jatata”, tiene como objetivo regular las instalaciones actuales del recinto, en cuanto a la normativa vigente y que del mismo modo no has sido sometidas al  Sistema de Evaluación Ambiental.";"2021"
11;"Parque Fotovoltaico Colmo";"DIA";"Quinta";"c";"Solek Chile Services SpA";"10,0000";"24/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150870374";"2150870374";"https://seia.sea.gob.cl/mapa/info.php?id=2150870374&name=0";-71,452305;-32,892685;"En Calificación";15;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto consiste en la instalación y operación de un parque fotovoltaico ubicado en la Región de Valparaíso, específicamente en la comuna de Quintero, perteneciente a la Provincia de Valparaíso. Objetivo El Proyecto, tiene por objetivo captar y transformar la energía solar en energía eléctrica para inyectar 9 MW a la red de distribuidora local, perteneciente al SEN";"2021"
